"Table 2. Marijuana Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2017 and 2018 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2017 and 2018.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,15.47%,15.13%,15.81%,12.45%,11.99%,12.92%,34.80%,34.04%,35.57%,12.73%,12.36%,13.11%,15.77%,15.41%,16.14%
2,Northeast,15.97%,15.35%,16.60%,13.00%,12.16%,13.89%,38.99%,37.52%,40.49%,12.69%,11.96%,13.44%,16.24%,15.58%,16.92%
3,Midwest,14.99%,14.46%,15.54%,12.58%,11.85%,13.36%,34.75%,33.59%,35.93%,12.05%,11.42%,12.71%,15.24%,14.66%,15.83%
4,South,12.92%,12.51%,13.35%,11.20%,10.56%,11.87%,30.14%,29.17%,31.13%,10.40%,9.89%,10.93%,13.10%,12.65%,13.56%
5,West,19.57%,18.92%,20.23%,13.96%,13.05%,14.92%,39.08%,37.64%,40.54%,17.07%,16.28%,17.88%,20.14%,19.43%,20.86%
6,Alabama,12.59%,10.99%,14.37%,10.24%,8.29%,12.58%,27.09%,23.68%,30.79%,10.55%,8.81%,12.58%,12.82%,11.13%,14.73%
7,Alaska,23.72%,21.48%,26.11%,16.42%,13.82%,19.40%,39.30%,35.15%,43.61%,22.14%,19.52%,24.99%,24.52%,22.10%,27.12%
8,Arizona,16.71%,14.64%,19.00%,11.97%,9.70%,14.67%,32.34%,28.37%,36.58%,14.72%,12.44%,17.33%,17.20%,15.00%,19.65%
9,Arkansas,13.40%,11.79%,15.19%,11.38%,9.44%,13.65%,26.85%,23.30%,30.73%,11.46%,9.70%,13.50%,13.61%,11.89%,15.53%
10,California,18.43%,17.49%,19.40%,13.82%,12.45%,15.32%,39.23%,37.02%,41.48%,15.54%,14.45%,16.70%,18.89%,17.88%,19.95%
11,Colorado,26.78%,24.38%,29.33%,16.93%,13.99%,20.33%,49.23%,45.00%,53.48%,24.37%,21.60%,27.37%,27.77%,25.21%,30.49%
12,Connecticut,18.45%,16.54%,20.53%,16.09%,13.44%,19.13%,46.38%,42.02%,50.81%,14.22%,12.10%,16.62%,18.68%,16.66%,20.89%
13,Delaware,17.11%,15.25%,19.15%,14.03%,11.65%,16.81%,41.09%,36.82%,45.51%,13.97%,11.93%,16.28%,17.40%,15.43%,19.56%
14,District of Columbia,26.47%,23.94%,29.16%,16.41%,13.67%,19.57%,51.93%,46.82%,57.00%,22.44%,19.62%,25.54%,27.03%,24.40%,29.84%
15,Florida,14.34%,13.30%,15.44%,13.01%,11.59%,14.57%,34.58%,32.29%,36.95%,11.75%,10.58%,13.03%,14.45%,13.35%,15.63%
16,Georgia,13.50%,12.20%,14.92%,11.61%,9.77%,13.75%,30.91%,27.82%,34.18%,10.86%,9.40%,12.53%,13.71%,12.32%,15.24%
17,Hawaii,14.29%,12.51%,16.26%,11.20%,9.15%,13.64%,28.28%,24.53%,32.35%,12.73%,10.75%,15.01%,14.56%,12.68%,16.67%
18,Idaho,13.78%,12.17%,15.56%,12.29%,10.22%,14.72%,28.29%,24.73%,32.14%,11.58%,9.80%,13.63%,13.96%,12.23%,15.88%
