"Table 28. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2017 and 2018 NSDUHs  ",,,,,,,,,,
"NOTE: Any mental illness (AMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2017-2018 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2017 and 2018.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,19.00%,18.63%,19.38%,26.04%,25.41%,26.67%,17.88%,17.47%,18.30%
2,Northeast,18.53%,17.83%,19.26%,26.47%,25.33%,27.64%,17.30%,16.50%,18.12%
3,Midwest,19.88%,19.26%,20.51%,27.47%,26.46%,28.51%,18.63%,17.94%,19.35%
4,South,18.18%,17.63%,18.74%,24.11%,23.26%,24.99%,17.24%,16.62%,17.87%
5,West,19.90%,19.16%,20.67%,27.44%,26.23%,28.68%,18.68%,17.86%,19.54%
6,Alabama,21.39%,19.15%,23.81%,24.24%,21.37%,27.36%,20.93%,18.43%,23.68%
7,Alaska,20.50%,18.51%,22.65%,28.47%,25.19%,31.99%,19.22%,17.00%,21.65%
8,Arizona,19.24%,17.00%,21.71%,24.56%,21.42%,27.99%,18.37%,15.88%,21.17%
9,Arkansas,20.27%,18.26%,22.45%,25.64%,22.66%,28.86%,19.40%,17.15%,21.86%
10,California,18.54%,17.44%,19.69%,26.53%,24.66%,28.48%,17.22%,16.00%,18.52%
11,Colorado,21.50%,19.33%,23.83%,31.44%,28.13%,34.94%,19.92%,17.55%,22.53%
12,Connecticut,19.03%,16.94%,21.31%,28.12%,24.86%,31.63%,17.56%,15.26%,20.13%
13,Delaware,20.03%,17.89%,22.36%,28.10%,24.80%,31.64%,18.86%,16.53%,21.45%
14,District of Columbia,22.21%,19.99%,24.60%,27.02%,23.80%,30.51%,21.32%,18.83%,24.04%
15,Florida,17.39%,16.16%,18.69%,24.38%,22.47%,26.41%,16.45%,15.10%,17.89%
16,Georgia,18.09%,16.36%,19.95%,24.46%,21.87%,27.24%,17.03%,15.12%,19.13%
17,Hawaii,17.58%,15.57%,19.79%,25.02%,21.87%,28.46%,16.59%,14.40%,19.04%
18,Idaho,24.46%,22.10%,26.99%,30.54%,27.07%,34.24%,23.46%,20.84%,26.29%
19,Illinois,18.06%,16.66%,19.55%,26.42%,24.08%,28.90%,16.73%,15.17%,18.42%
20,Indiana,22.51%,20.41%,24.77%,29.43%,26.03%,33.09%,21.32%,18.97%,23.87%
21,Iowa,19.89%,17.89%,22.05%,25.59%,22.48%,28.98%,18.88%,16.64%,21.34%
22,Kansas,19.59%,17.51%,21.85%,27.09%,23.95%,30.48%,18.26%,15.94%,20.84%
23,Kentucky,22.14%,19.97%,24.49%,24.71%,21.75%,27.92%,21.73%,19.30%,24.39%
24,Louisiana,20.63%,18.48%,22.96%,24.87%,21.90%,28.08%,19.95%,17.55%,22.58%
25,Maine,20.82%,18.51%,23.34%,31.23%,27.99%,34.68%,19.47%,16.98%,22.23%
26,Maryland,16.96%,15.06%,19.03%,25.32%,22.31%,28.59%,15.70%,13.63%,18.03%
27,Massachusetts,21.22%,19.08%,23.54%,28.22%,25.07%,31.60%,20.03%,17.63%,22.67%
28,Michigan,19.07%,17.61%,20.62%,25.88%,23.64%,28.26%,17.95%,16.32%,19.69%
29,Minnesota,19.32%,17.34%,21.48%,30.77%,27.21%,34.58%,17.53%,15.38%,19.91%
30,Mississippi,19.49%,17.48%,21.68%,23.40%,20.47%,26.61%,18.83%,16.57%,21.31%
31,Missouri,21.44%,19.32%,23.71%,27.61%,24.51%,30.94%,20.45%,18.12%,23.00%
32,Montana,20.00%,18.06%,22.09%,27.96%,24.72%,31.45%,18.75%,16.63%,21.07%
